Date,Open,High,Low,Close,Adj Close,Volume
2022-09-16,13.412000,13.580000,13.292000,13.400000,12.273808,19048773
2022-09-19,13.446000,13.606000,13.236000,13.510000,12.374563,6886234
2022-09-20,13.570000,13.712000,13.124000,13.220000,12.108936,13546841
2022-09-21,13.120000,13.330000,12.952000,13.330000,12.209691,6910648
2022-09-22,13.064000,13.314000,12.982000,13.008000,11.914754,8544502
2022-09-23,12.962000,13.016000,12.354000,12.482000,11.432961,13543361
2022-09-26,12.404000,12.958000,12.400000,12.720000,11.650959,10150594
2022-09-27,12.902000,13.046000,12.740000,12.834000,11.755377,10252304
2022-09-28,12.700000,12.882000,12.468000,12.826000,11.748050,11150967
2022-09-29,12.868000,12.930000,12.050000,12.214000,11.187485,16977425
2022-09-30,12.288000,12.426000,12.056000,12.272000,11.240610,10169498
2022-10-03,12.128000,12.514000,11.970000,12.514000,11.462272,9471228
2022-10-04,12.784000,12.944000,12.686000,12.930000,11.843309,11699644
2022-10-05,12.796000,12.850000,12.390000,12.624000,11.563026,12463118
2022-10-06,12.716000,12.810000,12.480000,12.534000,11.480591,8128712
2022-10-07,12.484000,12.626000,12.242000,12.300000,11.266257,9175837
2022-10-10,12.130000,12.412000,12.100000,12.184000,11.160006,9045643
2022-10-11,12.110000,12.320000,11.868000,12.320000,11.284575,9623999
2022-10-12,12.278000,12.300000,11.954000,12.194000,11.169166,11106779
2022-10-13,12.148000,12.518000,11.980000,12.486000,11.436625,10838528
2022-10-14,12.614000,12.710000,12.410000,12.498000,11.447617,9644583
2022-10-17,12.600000,12.894000,12.458000,12.814000,11.737059,8222013
2022-10-18,12.964000,13.296000,12.932000,13.022000,11.927577,12297217
2022-10-19,13.124000,13.188000,12.966000,12.968000,11.878116,6824383
2022-10-20,12.960000,13.236000,12.850000,13.174000,12.066802,9200454
2022-10-21,13.096000,13.102000,12.832000,13.074000,11.975207,9054649
2022-10-24,13.228000,13.596000,13.104000,13.474000,12.341589,13799416
2022-10-25,13.600000,13.636000,13.246000,13.530000,12.392882,9098592
2022-10-26,13.478000,13.690000,13.428000,13.652000,12.504629,7781915
2022-10-27,13.630000,13.692000,13.426000,13.634000,12.488142,8560541
2022-10-28,13.502000,13.580000,13.322000,13.564000,12.424026,8075630
2022-10-31,13.604000,13.720000,13.434000,13.660000,12.511956,7809232
2022-11-01,13.736000,14.072000,13.698000,13.792000,12.632863,10722898
2022-11-02,13.950000,14.026000,13.696000,13.734000,12.579738,15068075
2022-11-03,13.610000,13.626000,13.090000,13.286000,12.169390,15660165
2022-11-04,13.244000,13.686000,13.190000,13.564000,12.424026,13582104
2022-11-07,13.520000,13.790000,13.436000,13.760000,12.603553,6917921
2022-11-08,13.662000,13.750000,13.542000,13.710000,12.557755,6347157
2022-11-09,13.710000,13.770000,13.554000,13.706000,12.554091,5584421
2022-11-10,13.626000,14.194000,13.608000,14.158000,12.968102,11647808
2022-11-11,14.300000,14.394000,14.126000,14.228000,13.032220,10016185
2022-11-14,14.272000,14.534000,14.254000,14.408000,13.197092,8631613
2022-11-15,14.538000,14.600000,14.394000,14.516000,13.296015,8795173
